	direccion	lat	lon
0	Manuela Pedraza 1800, Nunez, Argentina	-34.548407	-58.4605043
0	Avenida Rivadavia 4400, Caballito, Argentina	-34.6175576	-58.4347117
0	Avenida Luis Maria Campos 600, Las Canitas, Argentina	-34.5712571	-58.4349678
0	Angel M. Jimenez Y Rivadavia 0, Caballito, Argentina	null	null
0	Eduardo Holmberg 2600, Coghlan, Argentina	null	null
0	Monroe 5300, Villa Urquiza, Argentina	-34.5757446	-58.4886615
0	Avenida Raul Scalabrini Ortiz 2700, Palermo, Argentina	-34.5841063	-58.4144079
0	Laprida 1900, Barrio Norte, Argentina	-34.5885939	-58.4010879
0	Libertador 3600, Palermo, Argentina	-34.5733032	-58.4191748
0	Chenaut 1900, Las Canitas, Argentina	-34.5714281	-58.4320467
0	Avenida Doctor Honorio Pueyrredon 1100, Caballito, Argentina	-34.6078371	-58.4454946
0	Gorriti 3800, Palermo, Argentina	-34.5956237	-58.4183994
0	Santa Fe 4900, Palermo, Argentina	-34.57759	-58.42859
0	Manuel A Rodriguez 1100, Caballito, Argentina	-34.60758	-58.44845
0	Nogoya 3100, Villa del Parque, Argentina	-34.6030762	-58.4919211
0	Corrientes 5500, Palermo Soho - Palermo, Argentina	-34.5950982	-58.4446995
0	Avenida Avellaneda 3300, Flores, Argentina	-34.6277976	-58.4763936
0	Sanchez De Bustamante 1900, Recoleta, Argentina	-34.589424	-58.408265
0	Goyena Pedro Av. 800, Caballito, Argentina	-34.6263442	-58.4389537
0	Av. Del Libertador 1700, Palermo, Argentina	-34.5832607	-58.3972257
0	Capdevila 3200, Villa Urquiza, Argentina	-34.5678779	-58.4918909
0	Manuela Pedraza 2000, Belgrano, Argentina	-34.549133	-58.4618581
0	Vicente Camargo 555 5F, Villa Crespo, Argentina	-34.60014	-58.44039
0	Caracas 1100, Flores, Argentina	-34.6175219	-58.4663839
0	Miro 400, Caballito, Argentina	-34.6276749	-58.4483229
0	Jeronimo Salguero 1800, Palermo, Argentina	-34.5719392	-58.400745
0	Uriburu Jose Evaristo 1000, Barrio Norte, Argentina	null	null
0	Av. Del Libertador 4800, Palermo, Argentina	-34.5651229	-58.4344005
0	Mariano Acha 4300, Saavedra, Argentina	-34.5524119	-58.4932049
0	Austria 2100, Barrio Norte, Argentina	-34.5880799	-58.4042759
0	Avenida Callao 200, Congreso, Argentina	-31.25497	-61.47288
0	Acuna Figueroa 400, Almagro, Argentina	-34.6061249	-58.4229529
0	Vuelta De Obligado 1900, Belgrano, Argentina	-34.5635188	-58.4540327
0	Av Corrientes 5700, Villa Crespo, Argentina	-34.5956468	-58.4435022
0	Rivadavia 2800, Once, Argentina	-34.6091966	-58.3908828
0	Golfarini, J. A. 2300, Belgrano, Argentina	-34.55661	-58.45347
0	Romulo S.naon 3500, Saavedra, Argentina	-34.55368	-58.48353
0	Chacabuco 100, Monserrat, Argentina	-34.6092039	-58.3761988
0	Artigas 900, Flores, Argentina	-34.6206008	-58.4679879
0	Boulogne Sur Mer 900, Barrio Norte, Argentina	-34.5162199	-58.55652
0	Mansilla 3300, Palermo, Argentina	-34.5878795	-58.4188124
0	Las Heras, Av. 2700, Recoleta, Argentina	-34.5846049	-58.4006398
0	El Salvador 5500, Palermo Hollywood - Palermo, Argentina	-34.5843251	-58.4344495
0	Av. Cabildo 900, Belgrano, Argentina	-34.5697867	-58.4456556
0	General Jose Gervasio Artigas 2800, Villa del Parque, Argentina	-34.6015995	-58.4821562
0	Cordoba, Avda. 400, Barrio Norte, Argentina	-24.18177	-65.31661
0	Cordoba, Avda. 400, Retiro, Argentina	-31.192212	-64.4684873
0	Aguero 1900, Recoleta, Argentina	-34.5896519	-58.4045219
0	Avenida Donato Alvarez 0, Caballito, Argentina	-34.6149116	-58.4589491
0	Monroe 2500, Belgrano, Argentina	-34.5588899	-58.4606779
0	Av. Cramer 1700, Belgrano, Argentina	-34.5633637	-58.4625555
0	Tacuari 1800, Barracas, Argentina	-34.6298561	-58.3747051
0	Larrazabal, Av. 100, Liniers, Argentina	-34.64365	-58.51178
0	Cervino 4600, Palermo, Argentina	-34.581699	-58.4048436
0	Elcano 2900, Colegiales, Argentina	-34.5695787	-58.4575181
0	Av. Nazca 500, Flores, Argentina	-34.6265734	-58.4716538
0	Av. Rivadavia 5000, Caballito, Argentina	-34.6183202	-58.4362896
0	Jose Melian 4000, Saavedra, Argentina	-34.5521061	-58.4823372
0	Agrelo 4300, Caballito, Argentina	null	null
0	Estomba 2800, Saavedra, Argentina	-34.5556735	-58.4832916
0	Manuela Pedraza 3700, Saavedra, Argentina	-34.5690391	-58.4997411
0	Moreno 3600, Almagro, Argentina	-34.6146599	-58.4169329
0	Valle 1000, Caballito, Argentina	-34.6252319	-58.4414719
0	Elpidio Gonzalez 4300, Monte Castro, Argentina	-34.6189409	-58.4971749
0	Anchorena 800, Recoleta, Argentina	-34.5918203	-58.4033141
0	Avenida Eva Peron 1100, Caballito, Argentina	null	null
0	Av. Corrientes 2000, Once, Argentina	-34.6046273	-58.395161
0	Pasaje Corrales Viejos 0, Parque Patricios, Argentina	-34.63764	-58.40509
0	Avenida Corrientes 3100, Balvanera, Argentina	-34.6043004	-58.4088411
0	Avenida Scalabrini Ortiz 1100, Palermo, Argentina	-34.59101	-58.42516
0	Libertador 2200, Palermo Chico - Palermo, Argentina	-34.58162	-58.40358
0	Avenida Del Libertador 5100, Belgrano, Argentina	-34.5631947	-58.4382053
0	Avenida Olazabal 5100, Villa Urquiza, Argentina	-34.5765129	-58.4857279
0	Av. Callao 600, Barrio Norte, Argentina	-34.6021273	-58.3926537
0	Thames 2200, Palermo, Argentina	-34.5839439	-58.4253709
0	Av Belgrano 3300, Balvanera, Argentina	-34.6145114	-58.4030103
0	Arsobispo Espinoza 1300, Barracas, Argentina	-34.633884	-58.3710209
0	Washington 2300, Coghlan, Argentina	-34.5660976	-58.4724199
0	Hipolito Yrigoyen 3300, Almagro, Argentina	-34.614618	-58.4203304
0	Miralla 2500, Villa Lugano, Argentina	-34.6641347	-58.4805291
0	Martinez Castro 2600, Mataderos, Argentina	-34.5021752	-58.5150726
0	Av. Jorge Newbery 3900, Chacarita, Argentina	-34.5918319	-58.4540951
0	Godoy Cruz 2800, Palermo, Argentina	-34.5777568	-58.4245107
0	Suarez 1300, Barracas, Argentina	-34.6429773	-58.3900852
0	Av Montes De Oca 700, Barracas, Argentina	-34.6362647	-58.3748917
0	Avenida Martin Garcia 300, Barracas, Argentina	-34.6342087	-58.3752287
0	Franklin 2400, Flores, Argentina	-34.6179589	-58.4674279
0	Helguera 300, Flores, Argentina	-34.6283929	-58.4739329
0	Simbron 4700, Villa Devoto, Argentina	-34.610772	-58.5150399
0	Republica Arabe Siria 2900, Palermo, Argentina	-34.5819754	-58.4145084
0	Segui 4400, Palermo, Argentina	-34.5738852	-58.4206563
0	Ambrosetti 800, Parque Centenario, Argentina	-30.01468	-61.57599
0	Avenida Independencia 3700, Boedo, Argentina	-34.62117	-58.41793
0	Avenida Garay 1200, Constitucion, Argentina	-34.6270649	-58.3828298
0	Dr. Pedro Ignacio Rivera 3400, Belgrano, Argentina	-34.55842	-58.4639735
0	Lautaro 0, Flores, Argentina	-34.6439319	-58.444796
0	Neuquen 1900, Caballito, Argentina	-34.6159504	-58.4424277
0	Teniente General Juan Domingo Peron 2600, Balvanera, Argentina	-34.6076649	-58.4032909
0	Nicasio Orono 400 4D, Caballito, Argentina	-34.623759	-58.4496207
0	Independencia Av. 2600, San Cristobal, Argentina	-34.61883	-58.40212
0	Gualeguaychu 300  8P, Floresta, Argentina	-34.6310977	-58.485845
0	Pepiri 1500 3 A, Pompeya, Argentina	-34.6551904	-58.4060674
0	Pepiri 1500 2 C, Pompeya, Argentina	null	null
0	Cochabamba 800 5 C, San Telmo, Argentina	-34.62351	-58.37691
0	Castillo 1200 1 7, Chacarita, Argentina	null	null
0	Castillo 1200 PB 3, Chacarita, Argentina	null	null
0	Castillo 1200  pb 2, Chacarita, Argentina	null	null
0	Castillo 1200 1 6, Chacarita, Argentina	null	null
0	Av. Del Barco Centenera 1900 1 5, Parque Chacabuco, Argentina	-34.640528	-58.4322667
0	Av. Juan De Garay 3200 11A, Parque Patricios, Argentina	-34.62994	-58.40973
0	Avenida Independencia 4000, Almagro, Argentina	-34.62078	-58.41381
0	Diaz Avelino 700 1 4, Parque Chacabuco, Argentina	-34.63572	-58.42965
0	Avenida Juan De Garay 3200 7B, Parque Patricios, Argentina	-34.62994	-58.40973
0	Avenida Juan De Garay 3200 5A , Parque Patricios, Argentina	-34.62994	-58.40973
0	Carlos Antonio Lopez 2800, Villa Pueyrredon, Argentina	-34.5812002	-58.4961286
0	Cerrito 1100, Recoleta, Argentina	null	null
0	Manzanares 2300, Saavedra, Argentina	-34.5595779	-58.4930655
0	Larrea 100, Once, Argentina	-34.6088234	-58.4020377
0	Lucio Mansilla 2900, Barrio Norte, Argentina	-33.36627	-60.21667
0	Guemes 4100, Palermo Soho - Palermo, Argentina	-34.5854481	-58.418464
0	Olazabal 2300, Belgrano, Argentina	-34.5595819	-58.4571494
0	Manuel Leiva 4000, Chacarita, Argentina	-34.5892781	-58.447207
0	Av. Santa Fe 3000, Recoleta, Argentina	-34.5910546	-58.4079494
0	Avenida Ramon Castilla 2900, Palermo Chico - Palermo, Argentina	-34.5795151	-58.40025
0	Matheu 800, San Cristobal, Argentina	-34.6186442	-58.4001509
0	Jose Ignacio Gorriti 4400, Palermo, Argentina	-34.59363	-58.42513
0	Nahuel Huapi 4700, Villa Urquiza, Argentina	-34.5688579	-58.4841139
0	Hipolito Yrigoyen 4000, Caballito, Argentina	null	null
0	Garcia Del Rio 2600, Saavedra, Argentina	-34.549143	-58.4707528
0	Once, Once, Argentina	-34.6083826	-58.4070146
0	Combate De Los Pozos 100, Balvanera, Argentina	-34.610306	-58.3932175
0	Cangallo 100, Almagro, Argentina	null	null
0	Castelli 200, Once, Argentina	-34.6078066	-58.4048264
0	Avenida Pueyrredon 1400, Barrio Norte, Argentina	-34.5945749	-58.4025046
0	Rivadavia, Av. 5400, Caballito, Argentina	-34.62041	-58.44102
0	Lavalle 2800, Balvanera, Argentina	-34.6033149	-58.4061779
0	Cramer ., Nunez, Argentina	-34.5551862	-58.469658
0	Cramer 3500, Nunez, Argentina	-34.5551862	-58.469658
0	La Rioja 1200, San Cristobal, Argentina	-34.6259279	-58.4068783
0	Belgrano, Avda. 3900, Almagro, Argentina	-34.6158796	-58.4214948
0	Peron, Juan D., Pte. 3900, Almagro, Argentina	null	null
0	San Juan, Av. 1500, San Cristobal, Argentina	-31.5164789	-68.5473066
0	Gascon 100, Almagro, Argentina	-34.6113007	-58.424577
0	Jaures, Jean 900, Once, Argentina	null	null
0	Avda. Montes De Oca 400, Barracas, Argentina	-34.6330878	-58.3756787
0	Bolivar 1400, San Telmo, Argentina	-34.6254806	-58.3726362
0	Avda. Montes De Oca 1300, Barracas, Argentina	-34.643159	-58.3735019
0	Viamonte 1500, Centro / Microcentro, Argentina	null	null
0	Avenida Corrientes 2000, Centro / Microcentro, Argentina	-27.5019632	-58.8299036
0	Pedro Goyena 1700, Caballito, Argentina	-34.62858	-58.45235
0	Avenida Del Libertador 2300, Barrio Norte, Argentina	-34.5809313	-58.4045637
0	El Salvador 4500, Palermo Viejo - Palermo, Argentina	-34.59098	-58.42487
0	Vidt 2000, Barrio Norte, Argentina	null	null
0	Arevalo 2000, Palermo Chico - Palermo, Argentina	-34.578455	-58.4378123
0	Guatemala 4800, Palermo, Argentina	-34.5857226	-58.4253269
0	Av. Del Libertador 2200, Palermo Viejo - Palermo, Argentina	-34.58162	-58.40358
0	Beruti 3300, Barrio Norte, Argentina	-34.5911724	-58.4041426
0	Beruti 3300, Palermo Hollywood - Palermo, Argentina	null	null
0	Posadas 1300, Palermo, Argentina	-27.46822	-55.86089
0	Honduras 3700, Palermo Soho - Palermo, Argentina	-34.5900107	-58.4281592
0	Gelly 3000, Recoleta, Argentina	-34.5867724	-58.3971122
0	Cervino 4500, Palermo, Argentina	-34.581699	-58.4048436
0	Av. Santa Fe 5000, Palermo Hollywood - Palermo, Argentina	-34.57717	-58.43005
0	Julieta Lanteri 600, Puerto Madero, Argentina	-34.6148612	-58.3607123
0	Medrano 1600, Palermo Hollywood - Palermo, Argentina	-34.5909387	-58.4191931
0	Godoy Cruz 3000, Palermo Chico - Palermo, Argentina	-34.5755307	-58.4225388
0	Gutierrez 3100, Palermo Chico - Palermo, Argentina	-26.7923699	-60.46407
0	G. Gelly Y Obes 2200, Recoleta, Argentina	-34.58626	-58.39687
0	Av. Juan B. Justo 1100, Palermo, Argentina	-34.5824453	-58.430415
0	Honduras 3700, Palermo Viejo - Palermo, Argentina	-34.58441	-58.43599
0	Avenida Casares 3500, Palermo Chico - Palermo, Argentina	-34.57149	-58.40641
0	Ruggieri 3000, Palermo, Argentina	-34.5800475847643	-58.4070039350854
0	Silvio L. Ruggeri 3000, Palermo Chico - Palermo, Argentina	-34.5799069	-58.4070233
0	Camila Ogorman 400, Puerto Madero, Argentina	-34.6211858	-58.3616688
0	Marta Salotti 400, Puerto Madero, Argentina	-34.6133053	-58.36205
0	Ramsay 1900, Belgrano, Argentina	-34.5541085	-58.43828
0	Av. Del Libertador 100, Nunez, Argentina	-34.5488641	-58.4549023
0	Av. Rivadavia 2300, Balvanera, Argentina	-34.6098176	-58.3989656
0	Esmeralda 1000, Barrio Norte, Argentina	-34.5923756	-58.3785463
0	Av. Del Libertador 10000, Nunez, Argentina	-34.5488641	-58.4549023
0	Callao 100, Recoleta, Argentina	-34.5863857	-58.3855372
0	Jose Hernandez 1700, Las Canitas, Argentina	-26.79197	-65.18911
0	Av Libertador 8000, Belgrano, Argentina	-24.1999503	-65.2817933
0	Av. Juan B. Justo 1000, Palermo, Argentina	-34.5819491	-58.4297537
0	Av. Luis M Campos 100, Palermo Hollywood - Palermo, Argentina	-34.5758076	-58.4303399
0	Boulevard Incas 3600, Belgrano, Argentina	-34.56987	-58.458
0	Boulevard Incas 3800, Belgrano, Argentina	-34.56987	-58.458
0	Av. Juan De Garay 600, San Telmo, Argentina	-34.6245698	-58.3738924
0	Humboltd 2200, Palermo Hollywood - Palermo, Argentina	null	null
0	Arevalo 3000, Belgrano, Argentina	-32.9306745	-60.7130833
0	Fitz Roy 1400, Palermo Soho - Palermo, Argentina	-34.5868211	-58.4394264
0	Av Del Libertador 5000, Las Canitas, Argentina	-34.5639404	-58.4364427
0	Arroyo Entre Suipacha Y Esmeralda, Recoleta, Argentina	null	null
0	Mendoza 1900, Nunez, Argentina	null	null
0	Mansilla 3500, Barrio Norte, Argentina	-34.5966221	-58.4031172
0	Julian Alvarez 500, Palermo, Argentina	-34.6000264	-58.4353072
0	Figueroa Alcorta, Av. 3000, Palermo Chico - Palermo, Argentina	-34.580407	-58.399048
0	Lynch 400, Puerto Madero, Argentina	-34.6093799	-58.3630578
0	Maipu 800, Centro / Microcentro, Argentina	-31.40792	-64.17608
0	Aguero 700 1o A, Once, Argentina	null	null
0	Av. Independencia 400, San Telmo, Argentina	-34.6173694	-58.3715468
0	Mexico 700, San Telmo, Argentina	null	null
0	Honduras 6000, Palermo Hollywood - Palermo, Argentina	-34.58108	-58.44032
0	Alberdi Juan B. Av. 200, Caballito, Argentina	-34.6226	-58.43057
0	Peron 3900, Almagro, Argentina	-34.6061153	-58.4214832
0	Av. Santa Fe 5200, Palermo, Argentina	-34.5762767	-58.4329486
0	Beruti 4400, Palermo Chico - Palermo, Argentina	-34.58538	-58.41234
0	Gutierrez 3900, Palermo Chico - Palermo, Argentina	-34.5807438	-58.4143216
0	Nunez 4200, Villa Urquiza, Argentina	-34.5631441	-58.4920239
0	Santa Fe 3100, Palermo, Argentina	-34.58421	-58.4173
0	Boyaca 300, Flores, Argentina	-34.6236677	-58.4589737
0	Castillo 100, Villa Crespo, Argentina	-34.5989787	-58.4310163
0	Av Independencia 2400, San Cristobal, Argentina	-34.61868	-58.39989
0	San Pedrito 600, Flores, Argentina	-34.6419686	-58.4619519
0	Rep. De La India 2800, Palermo Chico - Palermo, Argentina	null	null
0	Mansilla 3700, Palermo, Argentina	-34.5906394	-58.4153142
0	Cerrito 1500, Barrio Norte, Argentina	-34.5901926	-58.3827815
0	Trelles 1100, Villa Crespo, Argentina	null	null
0	Martin Guerrico 5200, Villa Soldati, Argentina	-33.67629	-60.3985
0	Dellepiane 4700, Villa Soldati, Argentina	null	null
0	Avenida Juan Bautista Alberdi 1600, Flores, Argentina	-34.6290117	-58.4545717
0	Avenida Corrientes 6100, Villa Ortuzar, Argentina	null	null
0	Luis Viale 300, Almagro, Argentina	null	null
0	Mexico 900, Abasto, Argentina	-34.6192368	-58.4116825
0	Castelli Y B. Mitre, Balvanera, Argentina	-34.60883	-58.40462
0	Uriburu 200, Once, Argentina	-34.6202165	-58.4100906
0	Av. Pavon 4300, Boedo, Argentina	-34.6313929	-58.4242509
0	Ramos Mejia 600, Caballito, Argentina	-34.606487	-58.4320747
0	Viamonte 1800, Barrio Norte, Argentina	-34.6008764	-58.392598
0	Ramos Mejia 0, Caballito, Argentina	-34.606487	-58.4320747
0	Maipu Y Santa Fe, Abasto, Argentina	-33.03275	-68.72246
0	Av Emilio Castro Entre Carhue Y Andalgala, Liniers, Argentina	-34.65325	-58.51821
0	Suarez, Jose Leon Entre Martinez De Hoz Y, Liniers, Argentina	-34.65144	-58.52665
0	Zelada Entre Fonrouge Y Pola, Mataderos, Argentina	-34.65485	-58.49568
0	Av. Juan B. Alberdi 500, Caballito, Argentina	-34.6231099	-58.43443
0	Moreno 3300, Almagro, Argentina	-34.6145526	-58.417133
0	Acassuso Entre Andalgala Y Cosquin, Liniers, Argentina	-34.6512699	-58.5208
0	Lisandro De La Torre Entre Acassuso Y Ercilla, Liniers, Argentina	null	null
0	Pilar Entre Tonelero Y Caaguazu, Liniers, Argentina	null	null
0	Montiel Entre Zelada Y Pizarro, Liniers, Argentina	-34.64801	-58.52586
0	Artigas, Jose G. De, Gral. Entre Pieres Y Oliden, Mataderos, Argentina	null	null
0	Estero Bellaco Entre Carhue Y Felix Origone, Liniers, Argentina	-34.64871	-58.5256
0	Andalgala Entre Acassuso Y Patron, Liniers, Argentina	-34.6512699	-58.5208
0	San Pedro Entre Fonrouge Y Pola, Mataderos, Argentina	-34.65725	-58.49032
0	Suarez, Jose Leon Entre Patron Y Trenque Lauquen, Liniers, Argentina	-34.65467	-58.52391
0	Fragata Cefiro Entre Schmidl, Ulrico Y Pizarro, Mataderos, Argentina	-34.65891	-58.51744
0	Cafayate Entre Caaguazu Y Garcia De Cossio, Liniers, Argentina	-34.64803	-58.51762
0	Carhue Entre Acassuso Y Polonia, Liniers, Argentina	-34.64808	-58.51332
0	Cosquin Entre Rivadavia, Av. Y Rivadavia, Av., Liniers, Argentina	-33.19202	-68.4659099
0	Cosquin Entre Rivadavia, Av. Y, Liniers, Argentina	-31.22161	-64.46904
0	Ercilla Entre Montiel Y Molina, Mataderos, Argentina	-34.6552	-58.51899
0	Larrazabal, Av. Entre Ramon Falcon Y Fonrouge, Liniers, Argentina	null	null
0	Aguaribay Entre Cuzco Y Gana, Versalles, Argentina	-34.63305	-58.52763
0	Guamini Entre Ercilla Y Av Emilio Castro, Mataderos, Argentina	-34.65325	-58.51821
0	Uriburu Y P. De Melo, Barrio Norte, Argentina	null	null
0	Patron Entre Carhue Y Andalgala, Liniers, Argentina	-34.6512699	-58.5208
0	Montiel Entre Patron Y Castro, Emilio, Avda., Liniers, Argentina	null	null
0	Caaguazu Entre Cafayate Y Leguizamon, Martiniano, Liniers, Argentina	null	null
0	Marmol, Jose Entre Independencia Y Mexico, Almagro, Argentina	null	null
0	Guamini Entre Ercilla Y Uldrico Schmidl, Mataderos, Argentina	null	null
0	Caaguazu Entre Andalgala Y Carhue, Liniers, Argentina	-34.6512699	-58.5208
0	Balcarce Entre Belgrado Y Moreno, San Telmo, Argentina	-34.6198	-58.37008
0	Joaquin V. Gonzalez 400, Flores, Argentina	-32.8824027	-68.8543212
0	Avenida Montes De Oca 1700, Barracas, Argentina	-34.6464551	-58.3728916
0	French 2200, Barrio Norte, Argentina	-34.5923329	-58.3970609
0	Esmeralda 900, Centro / Microcentro, Argentina	null	null
0	San Juan Av. 2400, San Cristobal, Argentina	-34.62348	-58.39913
0	Estados Unidos 3100, Boedo, Argentina	-34.6230208	-58.4220358
0	Avenida Entre Rios 200, Congreso, Argentina	null	null
0	Avda. Triunvirato 4300, Villa Urquiza, Argentina	-34.5777039	-58.4813539
0	Avenida Entre Rios 600, San Cristobal, Argentina	-34.6215532	-58.3915719
0	Gregorio De Laferrere 2000, Flores, Argentina	-34.6336039	-58.4531929
0	Gral Jose G Artigas 4300, Villa Pueyrredon, Argentina	-34.5866598	-58.4949713
0	Av. Directorio 200, Caballito, Argentina	null	null
